               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11835,            0.049089,            0.026756,           0.0025987,             0.14464,           0.0014946,          0.00030236,             0.11211,            0.046689,            0.024028,             0.00012,             0.00012,             0.09892
                   1,             0.10984,            0.050029,            0.023359,           0.0075884,            0.023505,           0.0023701,          0.00051336,             0.10373,            0.050183,            0.020465,             0.00025,             0.00025,             0.09775
                   2,             0.10403,             0.05545,            0.020559,            0.015531,            0.070018,           0.0053457,           0.0011751,            0.099435,             0.05185,            0.018081,          0.00037999,          0.00037999,             0.09658
                   3,            0.099163,            0.059842,             0.01841,            0.039365,             0.09785,            0.013071,           0.0026546,             0.09567,             0.05318,            0.016276,          0.00050996,          0.00050996,             0.09541
                   4,            0.094577,            0.061703,             0.01697,            0.061635,             0.13649,            0.025233,           0.0050854,             0.09186,             0.05415,            0.014592,          0.00063992,          0.00063992,             0.09424
                   5,            0.088947,            0.060881,            0.015144,             0.57853,            0.074784,            0.041779,           0.0086466,            0.088314,             0.05485,            0.012685,          0.00076985,          0.00076985,             0.09307
                   6,            0.084302,            0.059766,            0.012644,             0.57238,            0.097033,            0.050443,           0.0097119,            0.084545,            0.057549,            0.010651,          0.00089975,          0.00089975,              0.0919
                   7,             0.07978,             0.06002,            0.011005,            0.091617,             0.40745,            0.070608,            0.013124,            0.082585,            0.057601,           0.0091186,           0.0010296,           0.0010296,             0.09073
                   8,            0.076954,            0.061606,           0.0092489,             0.16787,              0.3838,             0.10821,             0.02324,             0.07902,            0.058397,           0.0079464,           0.0011594,           0.0011594,            0.089559
                   9,            0.074509,            0.057327,           0.0080856,             0.17589,             0.29415,            0.086753,            0.016821,            0.080142,            0.054176,           0.0069644,           0.0012892,           0.0012892,            0.088389
                  10,            0.073982,            0.058379,           0.0066102,             0.32295,             0.24825,             0.12076,            0.026006,            0.077695,            0.053718,           0.0063015,           0.0014189,           0.0014189,            0.087219
                  11,              0.0726,            0.059652,           0.0063594,             0.19988,             0.26959,             0.12044,            0.027511,            0.075511,            0.054397,           0.0059082,           0.0015485,           0.0015485,            0.086049
                  12,            0.072063,            0.056444,           0.0051153,             0.24416,             0.27688,             0.14205,            0.034134,            0.075878,            0.052561,           0.0055219,           0.0016781,           0.0016781,            0.084878
                  13,            0.071442,            0.057212,           0.0049003,             0.28183,             0.24953,              0.1656,            0.037423,            0.073777,             0.05325,           0.0049896,           0.0018076,           0.0018076,            0.083708
